sample_id,category_name,onset,offset,label
c---zaDCTaE,Church bell,0,10,8
fCZi6I6kPpU,Church bell,6,10,8
EV1bVf8Bldk,Church bell,0,10,8
OXvrQ0XIAeM,Church bell,0,10,8
DxQmMOIMRt0,Church bell,0,2,8
lDo2BlqTNhs,Church bell,6,8,8
rqkPh5iYujg,Church bell,7,10,8
WBdWZGDIQ5E,Church bell,0,10,8
bzWIuMC8Vl8,Church bell,0,10,8
qRUirWhTreY,Church bell,0,10,8
8H9eDAVMtMc,Church bell,5,10,8
qFh2hzDKpOQ,Church bell,1,7,8
5wHd0VafUAA,Church bell,0,10,8
tEx2DyBtFuk,Church bell,0,10,8
5mBCF05DV5s,Church bell,7,10,8
PBNiUVkJn9U,Church bell,0,10,8
2wrDhwN-NvQ,Church bell,0,10,8
TKd9459xiBk,Church bell,0,10,8
dnGW30q_7IA,Church bell,0,10,8
mywvRrNg2IE,Church bell,0,10,8
k9QU0rLvu70,Church bell,0,10,8
BypBw80i7GA,Church bell,0,10,8
F9zSHQFLLOg,Church bell,0,10,8
5hGZVNAzZ1U,Church bell,0,10,8
0FBFWPKJNIU,Church bell,0,10,8
_QQP43H56TA,Church bell,0,10,8
8-b-6bZ2q18,Church bell,0,10,8
EMENiImb_1Y,Church bell,0,10,8
FBNg2jl_K7c,Church bell,0,10,8
Ttqaq9OhRZ4,Church bell,0,8,8
sHeesHmUoIo,Church bell,0,10,8
b6nkPmL55po,Church bell,0,10,8
ChHA4I5DWVo,Church bell,0,10,8
howjD-RiwKA,Church bell,0,10,8
NwfdXxNB6zs,Church bell,0,10,8
5UAwQRotU9Q,Church bell,0,10,8
ljRo59Lb71I,Church bell,8,10,8
i7LbVHMrs_8,Church bell,0,10,8
RUQfqCEo734,Church bell,0,10,8
HtT13EI1_tA,Church bell,0,10,8
N_bL5F7K9IA,Church bell,0,5,8
iMBjRWoBkoI,Church bell,0,10,8
NlNaUpYSagQ,Church bell,0,10,8
utIXg-Dp2Yg,Church bell,0,10,8
F70PNukSzMw,Church bell,0,10,8
mkijyf_P1Wo,Church bell,0,8,8
iAendlwoWYU,Church bell,0,10,8
TTYevyM_tUw,Church bell,0,10,8
vX8BvVKMfqc,Church bell,0,10,8
e-MkVbRmlIo,Church bell,0,10,8
g0DAdD46HB0,Church bell,0,10,8
mgsi5Glqi7g,Church bell,0,10,8
B1tbHqjK434,Church bell,6,10,8
-mlWcker_3o,Church bell,3,7,8
ah-Z4NPR1v0,Church bell,0,10,8
kPsni0gM26A,Church bell,0,10,8
235CwPMzBUU,Church bell,0,10,8
Wlx6cREoAo4,Church bell,0,10,8
gxI_VHCV6qM,Church bell,0,10,8
Dzb1TlmWmYM,Church bell,3,10,8
WM5R44UMLq0,Church bell,0,10,8
iHCnXCi1-Xg,Church bell,0,10,8
Xq5oTX4-Hnc,Church bell,0,10,8
VWi2ENBuTbw,Church bell,0,0,8
RUhOCu3LNXM,Church bell,0,10,8
nRKU5Ns6cnU,Church bell,0,10,8
AiJTCFtN0BY,Church bell,1,4,8
l0QJ30VXvGA,Church bell,0,6,8
