category,video_id,onset,offset
Church bell,RUhOCu3LNXM,0,10
Church bell,MH3m4AwEcRY,6,8
Church bell,2An2JMGMbbs,0,10
Church bell,WM5R44UMLq0,0,10
Church bell,5wHd0VafUAA,0,10
Church bell,AiJTCFtN0BY,1,4
Church bell,Zlwu4AROYzg,0,10
Church bell,gjCew0Kp0iM,0,10
Church bell,eRF4KAXdn0w,6,10
Church bell,3IQHzT5O89g,0,10
Church bell,Hhqvvc4qu2Y,0,6
Church bell,Gavpgq1WWh4,0,2
Church bell,bzWIuMC8Vl8,0,10
Church bell,nRKU5Ns6cnU,0,10
Church bell,aAM11PIFB4I,0,10
Church bell,-J2WJaG1Dd4,0,10
Church bell,HE6-xn3yROY,0,10
Church bell,9U3n8WVLTKQ,0,10
Church bell,V8jbmbQk0yI,0,10
Church bell,Tc1822d78oA,0,10
Church bell,QPXMFPTuxJM,0,10
Church bell,hdstykfxcbw,0,10
Church bell,qMZ1nj4fDas,0,10
Church bell,e_5ngCwYckE,0,10
Church bell,Xq5oTX4-Hnc,0,10
Church bell,b63av9FMnMA,0,10
Church bell,VWi2ENBuTbw,0,0
Church bell,K5AE5C5FUQk,5,10
Church bell,1_4j6VRHZAw,0,5
Church bell,mgsi5Glqi7g,0,10
Church bell,fCZi6I6kPpU,6,10
Church bell,TKd9459xiBk,0,10
Church bell,Qocj8lVXvWA,0,10
Church bell,oCYJZmi--QQ,0,10
Church bell,ChHA4I5DWVo,0,10
Church bell,Sqgc73hM6kA,0,8
Church bell,aITbvftspRA,0,10
Church bell,NwfdXxNB6zs,0,10
Church bell,Dzb1TlmWmYM,3,10
Church bell,iHCnXCi1-Xg,0,10
Church bell,c---zaDCTaE,0,10
Church bell,MQLRFWXq8MY,0,10
Church bell,b_CLr2QHAVA,0,10
Church bell,nmhuK4ltJHs,0,10
Church bell,k9QU0rLvu70,0,10
Church bell,5UAwQRotU9Q,0,10
Church bell,F70PNukSzMw,0,10
Church bell,vX8BvVKMfqc,0,10
Church bell,WRLHOSi9uwU,0,10
Church bell,N_bL5F7K9IA,0,5
Church bell,80TUHi-3QuI,0,10
Church bell,B1tbHqjK434,6,10
Church bell,5mBCF05DV5s,7,10
Church bell,Ttqaq9OhRZ4,0,8
Church bell,D-1zfO68xNg,4,7
Church bell,Rnc4N2vVoV8,0,10
Church bell,SiA-LmxRebg,5,10
Church bell,g4yvlYbG1Mg,0,10
Church bell,Puo5cNcwawA,0,10
Church bell,i5DOcfr2h18,0,10
Church bell,WW8Scmk5YsM,0,10
Church bell,GEJqlH0mCX8,2,10
Church bell,ah-Z4NPR1v0,0,10
Church bell,BypBw80i7GA,0,10
Church bell,0A0xlHVADkw,2,6
Church bell,7KKnsh4AkQk,2,5
Church bell,uYB1VQ52h6s,0,10
Church bell,fbjHO8McLxk,0,10
Church bell,aCyWUJkT_5U,6,10
Church bell,EV1bVf8Bldk,0,10
Church bell,qFh2hzDKpOQ,1,7
Church bell,MCINU6Rb75E,5,10
Church bell,NlNaUpYSagQ,0,10
Church bell,XGVkq0Kl2aw,0,10
Church bell,2wrDhwN-NvQ,0,10
Church bell,e-MkVbRmlIo,0,10
Church bell,TEAHz5kw8dM,0,10
Church bell,FBNg2jl_K7c,0,10
Church bell,3Bu43fLiyoM,0,10
Church bell,iAendlwoWYU,0,10
Church bell,d88slBelHe8,0,10
Church bell,Wlx6cREoAo4,0,10
Church bell,HtT13EI1_tA,0,10
Church bell,otz4AffLKKA,0,3
Church bell,XR0EgZreEio,0,10
Church bell,eLJ-1bzHleU,0,9
Church bell,k6SR8d5y6o8,0,10
Church bell,7DbsH87BZHs,7,10
Church bell,HeZr6sKmSgM,0,10
Church bell,LV4ueNAZVrM,0,10
Church bell,DxQmMOIMRt0,0,2
Church bell,OXvrQ0XIAeM,0,10
Church bell,g0DAdD46HB0,0,10
Church bell,cfoJrTWCMeA,0,10
Church bell,o-9ZgsfDQnY,0,4
Church bell,sHeesHmUoIo,0,10
Church bell,4akybxlJ67I,0,10
Church bell,210bCIjptRI,0,10
Church bell,4vjDR_uDA-Q,0,10
Church bell,Rar7ZLJbxO8,0,10
Church bell,pkdMwCqjtzw,0,10
Church bell,iXpsqeezqJg,0,10
Church bell,3ABx8xzQcs4,2,10
Church bell,3uDl8Uyu-Fc,0,10
Church bell,1mOHH9xPSRI,0,10
Church bell,nUo8RVTx_d4,0,10
Church bell,FMlIzLuIGzw,0,10
Church bell,ehtav23phEw,0,10
Church bell,EMENiImb_1Y,0,10
Church bell,ePf6temHLPg,0,10
Church bell,kx1T4vDZLFk,5,10
Church bell,F9zSHQFLLOg,0,10
Church bell,rtuWNDL31Ko,0,10
Church bell,b6nkPmL55po,0,10
Church bell,kPsni0gM26A,0,10
Church bell,mywvRrNg2IE,0,10
Church bell,E4sIF6CpifA,0,8
Church bell,g55aHorM9fc,0,10
Church bell,FuKgspEtMTo,4,10
Church bell,PBNiUVkJn9U,0,10
Church bell,lDo2BlqTNhs,6,8
Church bell,dODwkYHQF9E,0,10
Church bell,8-b-6bZ2q18,0,10
Church bell,g74_yD24iks,0,10
Church bell,FFbJ2q_F3WM,0,10
Church bell,oKkx_7snEP8,0,10
Church bell,aMqrOEG5AxE,0,10
Church bell,l0QJ30VXvGA,0,6
Church bell,JYtxd-8D6OU,0,10
Church bell,dVeOxT3fT8c,4,10
Church bell,cjhDu8BokA0,0,10
Church bell,EsfJpLbBeb4,0,10
Church bell,e0vkDOf20AU,0,10
Church bell,rqkPh5iYujg,7,10
Church bell,dS8UpWyUilQ,0,10
Church bell,ljRo59Lb71I,8,10
Church bell,K0YTVuuuLAg,0,10
Church bell,DTWkL01Z8So,0,10
Church bell,utIXg-Dp2Yg,0,10
Church bell,PIdEa_F_VYg,0,10
Church bell,frml0pfb_Jk,0,10
Church bell,kXsp1e7LuvA,0,10
Church bell,5hGZVNAzZ1U,0,10
Church bell,4c0uLxgFiVc,0,10
Church bell,XtayTXu581w,0,10
Church bell,v-fC_-v8gj0,0,10
Church bell,XK6D6pTotPM,0,3
Church bell,tEx2DyBtFuk,0,10
Church bell,7jL_B4oX7xc,0,10
Church bell,-mlWcker_3o,3,7
Church bell,iMBjRWoBkoI,0,10
Church bell,b3AAWs6-uas,0,10
Church bell,A7L1ppU17Is,0,10
Church bell,235CwPMzBUU,0,10
Church bell,ovlSmajJXxc,0,10
Church bell,C6PT_vPExmc,0,10
Church bell,Bv07dA9xA6A,0,10
Church bell,M-fNi-L59Gk,0,10
Church bell,dU2n2OJ-K7Q,0,10
Church bell,WBdWZGDIQ5E,0,10
Church bell,gtqH0ghizQo,0,10
Church bell,LUio86WKdfc,0,10
