sample_id,video_id,onset,offset,label
0,v0200fg10000ca53p7rc77u5funijjg0,0,10,93
1,v0300fg10000cdh4dejc77uf845s7tbg,0,10,4
2,v0d00f930000c0nraqeqgbuimu8bklgg,0,10,81
3,v0200fg10000cdjsbbbc77u13l94lms0,1.98,8.98,241
4,v0200fg10000cc3hu23c77u0aich0fs0,0.04,9.3,19
6,v0300fg10000ce5ipjbc77ub612m5in0,5,10,312
7,v0300fg10000ce5ipjbc77ub612m5in0,0,5,312
8,v0200fg10000c5ukmk3c77ua81c51o6g,3.5,6.5,86
9,v0300fg10000ccffgfbc77ueusfp56lg,0,10,84
10,v0200fg10000c48kbvbc77uedq5ds0b0,2.36,7.64,235
11,v0200fg10000cdvpo1bc77u4kqua3l30,0.42,10,352
12,v0200fg10000cdvpo1bc77u4kqua3l30,0,10,352
13,v0200fg10000cdvpo1bc77u4kqua3l30,0,10,352
14,v0200fg10000cdvpo1bc77u4kqua3l30,0,9.57,352
15,v0d00fg10000cdj35l3c77u2u3e4dssg,0.42,2.32,312
16,v0300fg10000cb9la4rc77uf7s630crg,0.47,10,360
17,v0300fg10000cb9la4rc77uf7s630crg,0,9.54,360
18,v0d00fg10000ccrca5jc77u6rjgclav0,3.34,10,310
19,v0d00fg10000ccrca5jc77u6rjgclav0,0,10,310
20,v0d00fg10000ccrca5jc77u6rjgclav0,0,10,310
21,v0d00fg10000ccrca5jc77u6rjgclav0,0,6.66,310
22,v0300fg10000ce60mp3c77uaateee2a0,0.01,10,343
23,v0200fg10000ce4o7mrc77ubrp7sgutg,0.01,10,353
24,v0200fg10000ce4o7mrc77ubrp7sgutg,0,10,353
25,v0200fg10000ce4o7mrc77ubrp7sgutg,0,10,353
26,v0200fg10000ce4o7mrc77ubrp7sgutg,0,10,353
27,v0200fg10000c87m83jc77u0ovg1g6og,5.38,10,359
28,v0200fg10000c87m83jc77u0ovg1g6og,0,8.84,359
29,v0d00fg10000cd9lqtrc77u4unf5o8vg,4.19,10,232
30,v0d00fg10000cd9lqtrc77u4unf5o8vg,0,10,232
31,v0d00fg10000cd9lqtrc77u4unf5o8vg,0,5.81,232
32,v0200fg10000cadl65bc77u6qkde1rr0,3.98,10,344
33,v0200fg10000cadl65bc77u6qkde1rr0,0,6.02,344
35,v0200fg10000cd4d4brc77uf8a9kate0,3.11,7.67,333
36,v0300fg10000c45pga3c77ufruchlgt0,0,10,359
37,v0300fg10000c45pga3c77ufruchlgt0,0,10,359
38,v0300fg10000c45pga3c77ufruchlgt0,0,10,359
39,v0300fg10000c3qk1jjc77u2okhds40g,3.78,10,69
40,v0300fg10000c3qk1jjc77u2okhds40g,0,6.79,69
41,v0300fg10000c7jtv7jc77u6h3hqiif0,3.02,6.98,19
42,v0d00fg10000cdthperc77u3qr7hk0og,1.5,5,326
43,v0d00fg10000c8bcvq3c77u7qph23gmg,3.42,10,322
44,v0d00fg10000c8bcvq3c77u7qph23gmg,0,6.58,322
45,v0d00fg10000cd9rl43c77u75vsdmqfg,0,9,342
