sample_id,video_id,start,end,event_start,event_end,duration,category,onset,offset,type,haveBGM,audio_irrelevant,event_duration,label
0,v0200fg10000ca53p7rc77u5funijjg0,0.3000000000000007,10.3,0.3,10.3,59.4,93,0.0,10.0,2,0,0,10.0,93
1,v0300fg10000cdh4dejc77uf845s7tbg,1.1400000000000006,11.14,1.14,11.14,54.2,4,0.0,10.0,2,1,0,10.0,4
2,v0d00f930000c0nraqeqgbuimu8bklgg,1.2699999999999996,11.27,1.27,11.27,31.14,81,0.0,10.0,1,1,0,10.0,81
3,v0200fg10000cdjsbbbc77u13l94lms0,0.0,8.99,1.98,8.98,8.99,241,1.98,8.98,1,1,1,7.0,241
4,v0200fg10000cc3hu23c77u0aich0fs0,0.0,10.0,0.04,9.3,18.9,19,0.04,9.3,1,1,0,9.260000000000002,19
6,v0300fg10000ce5ipjbc77ub612m5in0,8.850000000000001,18.85,13.85,23.85,41.68,312,5.0,10.0,4,1,0,5.0,312
7,v0300fg10000ce5ipjbc77ub612m5in0,18.85,28.85,13.85,23.85,41.68,312,0.0,5.0,2,1,0,5.0,312
8,v0200fg10000c5ukmk3c77ua81c51o6g,0.7350000000000003,10.735,4.23,7.24,27.1,86,3.5,6.5,1,0,0,3.0,86
9,v0300fg10000ccffgfbc77ueusfp56lg,0.5199999999999996,10.52,0.52,10.52,26.17,84,0.0,10.0,1,0,0,10.0,84
10,v0200fg10000c48kbvbc77uedq5ds0b0,1.85,11.85,4.21,9.49,46.4,235,2.36,7.64,1,1,0,5.279999999999999,235
11,v0200fg10000cdvpo1bc77u4kqua3l30,2.1050000000000004,12.105,2.53,41.68,42.58,352,0.42,10.0,4,0,0,9.58,352
12,v0200fg10000cdvpo1bc77u4kqua3l30,12.105,22.105,2.53,41.68,42.58,352,0.0,10.0,3,0,0,10.0,352
13,v0200fg10000cdvpo1bc77u4kqua3l30,22.105,32.105000000000004,2.53,41.68,42.58,352,0.0,10.0,3,0,0,10.0,352
14,v0200fg10000cdvpo1bc77u4kqua3l30,32.105000000000004,42.105,2.53,41.68,42.58,352,0.0,9.57,2,0,0,9.57,352
15,v0d00fg10000cdj35l3c77u2u3e4dssg,0.0,10.0,0.42,2.32,12.93,312,0.42,2.32,1,1,0,1.9,312
16,v0300fg10000cb9la4rc77uf7s630crg,1.7749999999999986,11.775,2.24,21.31,24.33,360,0.47,10.0,4,1,1,9.53,360
17,v0300fg10000cb9la4rc77uf7s630crg,11.775,21.775,2.24,21.31,24.33,360,0.0,9.54,2,1,1,9.54,360
18,v0d00fg10000ccrca5jc77u6rjgclav0,9.400000000000002,19.4,12.74,46.06,51.25,310,3.34,10.0,4,1,0,6.66,310
19,v0d00fg10000ccrca5jc77u6rjgclav0,19.4,29.4,12.74,46.06,51.25,310,0.0,10.0,3,1,0,10.0,310
20,v0d00fg10000ccrca5jc77u6rjgclav0,29.4,39.400000000000006,12.74,46.06,51.25,310,0.0,10.0,3,1,0,10.0,310
21,v0d00fg10000ccrca5jc77u6rjgclav0,39.400000000000006,49.400000000000006,12.74,46.06,51.25,310,0.0,6.66,2,1,0,6.66,310
22,v0300fg10000ce60mp3c77uaateee2a0,0.0,10.0,0.01,15.67,15.67,343,0.01,10.0,4,0,0,9.99,343
23,v0200fg10000ce4o7mrc77ubrp7sgutg,0.0,10.0,0.01,46.23,46.3,353,0.01,10.0,4,0,0,9.99,353
24,v0200fg10000ce4o7mrc77ubrp7sgutg,10.0,20.0,0.01,46.23,46.3,353,0.0,10.0,3,0,0,10.0,353
