sample_id,onset,offset,label,new_category,category_name,index,haveBGM
1291,2.57,10.0,333,66,practicing archery,1091,1
13227,0.0,9.17,360,82,shaving head,11522,1
8350,0.0,4.37,145,45,baby drinking milk,7252,1
17330,0.0,10.0,341,70,panda eating bamboo,15051,1
24832,0.0,10.0,359,81,singing,21630,1
449,0.0,10.0,322,64,boxing,368,1
3811,2.61,10.0,312,62,playing badminton,3291,1
8812,3.45,10.0,235,55,using a vacuum cleaner,7656,1
24400,0.0,10.0,100,33,carving wood,21249,1
4862,0.0,10.0,14,5,operating a remote control car (excluding drifting/racing),4200,1
7481,0.0,10.0,352,78,performing traditional Chinese opera,6517,1
3980,0.0,10.0,343,72,plane taking off,3421,1
20301,2.62,9.99,14,5,operating a remote control car (excluding drifting/racing),17673,1
15951,0.0,10.0,55,15,deconstructing a building,13880,1
21216,0.0,10.0,48,11,flying remote control drone,18433,1
23040,0.01,5.71,49,12,drifting car,20050,1
27390,0.0,10.0,240,56,laser beam welding,23853,1
10051,0.0,10.0,19,6,riding a motorcycle (excluding drifting),8758,1
23917,0.0,8.3,310,61,skateboarding,20828,1
19953,0.0,10.0,326,65,diving (sports),17367,1
4720,0.0,10.0,337,68,raining,4076,1
5085,2.74,7.26,105,36,using a massage gun,4397,1
1793,1.0,9.0,228,52,mowing a lawn,1508,1
24800,0.0,10.0,100,33,carving wood,21602,1
8712,0.0,4.37,81,27,playing erhu,7566,1
8757,0.72,10.0,196,49,Playing the cello,7608,1
17062,5.16,8.22,312,62,playing badminton,14823,1
9919,2.79,7.21,228,52,mowing a lawn,8644,1
11687,2.87,7.13,14,5,operating a remote control car (excluding drifting/racing),10178,1
18801,0.0,10.0,80,26,water truck sprinkling water,16343,1
23544,3.45,4.85,342,71,feeding a cat,20497,1
19014,0.0,10.0,310,61,skateboarding,16539,1
2966,4.47,6.7,305,58,playing table tennis,2557,1
24727,0.0,10.0,388,83,whistling,21542,1
6785,0.0,10.0,14,5,operating a remote control car (excluding drifting/racing),5897,1
19826,0.0,10.0,398,85,setting off fireworks and firecrackers,17253,1
5960,0.0,10.0,353,79,watching a concert,5164,1
13265,2.97,10.0,342,71,feeding a cat,11551,1
26824,0.71,10.0,133,44,tap dancing,23356,1
26323,1.22,10.0,346,74,playing drum,22922,1
9465,1.98,8.02,32,8,washing car ,8222,1
16548,0.0,9.95,344,73,launching a racket,14390,1
