sample_id,onset,offset,label,new_category,category_name,index,haveBGM
21080,0.0,10.0,343,72,plane taking off,18316,0
15446,0.0,10.0,346,74,playing drum,13459,0
23235,0.0,10.0,4,0,playing flute ,20224,0
6906,0.0,10.0,349,77,playing suona,5992,0
22286,0.25,10.0,307,60,playing tennis,19380,0
22469,0.0,10.0,353,79,watching a concert,19531,0
24102,0.0,10.0,397,84,clubbing,20985,0
18086,0.0,9.98,5,1,playing bamboo flute ,15723,0
13141,1.16,10.0,343,72,plane taking off,11448,0
15927,0.0,10.0,232,54,cleaning a washing machine,13860,0
25409,0.0,9.98,349,77,playing suona,22128,0
6355,0.0,10.0,360,82,shaving head,5512,0
12506,0.0,8.85,102,34,playing hulusi,10904,0
6324,0.0,10.0,74,22,milking sheep,5485,0
24050,0.0,10.0,334,67,shooting with a slingshot,20939,0
26746,7.18,9.65,398,85,setting off fireworks and firecrackers,23292,0
1924,0.01,10.0,352,78,performing traditional Chinese opera,1630,0
7589,0.0,10.0,93,31,playing guqin,6611,0
9825,0.0,6.61,37,10,laser engraving,8554,0
1612,1.2,8.8,52,13,brushing teeth,1350,0
17333,0.0,10.0,397,84,clubbing,15054,0
6689,0.0,10.0,118,41,playing harmonica,5815,0
25951,4.55,10.0,60,18,using a jack,22602,0
22545,0.0,9.3,358,80,performing a duet,19605,0
23521,0.0,10.0,4,0,playing flute ,20475,0
9181,0.0,10.0,108,38,playing fingerstyle guitar,7980,0
12029,2.65,10.0,398,85,setting off fireworks and firecrackers,10470,0
16236,0.0,10.0,359,81,singing,14122,0
26772,0.0,10.0,92,30,playing konghou,23313,0
25385,0.0,10.0,81,27,playing erhu,22106,0
20260,0.0,9.92,86,29,playing guzheng,17634,0
14738,0.0,10.0,116,40,train running,12836,0
24040,0.44,10.0,81,27,playing erhu,20929,0
18934,1.1,10.0,359,81,singing,16465,0
11922,0.0,10.0,37,10,laser engraving,10373,0
13421,0.0,10.0,196,49,Playing the cello,11690,0
2159,0.0,10.0,306,59,playing volleyball,1836,0
3633,0.0,10.0,106,37,playing djembe,3132,0
15863,0.0,10.0,306,59,playing volleyball,13813,0
10151,0.0,7.76,231,53,cleaning with a robot vacuum,8851,0
20096,0.0,10.0,80,26,water truck sprinkling water,17488,0
4120,0.0,10.0,348,76,playing piano,3543,0
25567,0.0,10.0,84,28,playing hang (instrument),22262,0
15875,0.0,10.0,353,79,watching a concert,13824,0
9081,0.0,10.0,358,80,performing a duet,7886,0
12900,0.0,10.0,346,74,playing drum,11240,0
15253,0.0,10.0,349,77,playing suona,13283,0
25,0.0,10.0,353,79,watching a concert,23,0
20591,0.0,10.0,352,78,performing traditional Chinese opera,17903,0
22302,0.0,10.0,398,85,setting off fireworks and firecrackers,19388,0
23071,0.0,10.0,86,29,playing guzheng,20077,0
1418,8.07,10.0,228,52,mowing a lawn,1206,0
20959,0.0,10.0,105,36,using a massage gun,18221,0
462,0.82,10.0,326,65,diving (sports),376,0
17506,0.0,9.35,54,14,cleaning carpet,15206,0
219,0.0,10.0,69,20,auto racing,175,0
20655,0.0,10.0,106,37,playing djembe,17958,0
20287,0.0,10.0,360,82,shaving head,17661,0
11254,4.53,10.0,55,15,deconstructing a building,9797,0
10623,0.0,10.0,341,70,panda eating bamboo,9254,0
21613,0.0,10.0,203,51,using a sewing machine,18791,0
8393,0.08,3.71,333,66,practicing archery,7287,0
645,4.09,9.11,349,77,playing suona,539,0
6913,0.0,9.96,398,85,setting off fireworks and firecrackers,5999,0
14972,0.0,10.0,353,79,watching a concert,13033,0
21612,0.0,10.0,203,51,using a sewing machine,18790,0
3742,0.0,9.84,10,2,playing ukulele ,3230,0
24761,0.0,10.0,12,3,carving with hand tools,21565,0
4481,0.0,9.11,310,61,skateboarding,3860,0
2212,0.0,10.0,78,25,harvesting rice,1883,0
16273,0.0,10.0,397,84,clubbing,14157,0
6503,2.32,10.0,84,28,playing hang (instrument),5651,0
6683,0.0,5.56,312,62,playing badminton,5810,0
14221,0.0,10.0,349,77,playing suona,12392,0
27460,0.0,10.0,49,12,drifting car,23911,0
21140,0.01,10.0,116,40,train running,18362,0
14425,0.0,10.0,359,81,singing,12568,0
11512,0.0,10.0,307,60,playing tennis,10024,0
10104,3.95,10.0,4,0,playing flute ,8810,0
5616,0.0,10.0,360,82,shaving head,4849,0
6945,0.0,10.0,49,12,drifting car,6028,0
10688,1.16,10.0,81,27,playing erhu,9313,0
22143,0.0,10.0,92,30,playing konghou,19250,0
28005,1.72,8.28,86,29,playing guzheng,24391,0
10373,5.59,8.05,203,51,using a sewing machine,9043,0
26806,0.0,9.03,48,11,flying remote control drone,23340,0
5127,0.0,2.75,306,59,playing volleyball,4436,0
18533,0.0,10.0,358,80,performing a duet,16104,0
22213,4.05,10.0,196,49,Playing the cello,19315,0
26388,0.0,10.0,93,31,playing guqin,22983,0
14725,0.0,10.0,346,74,playing drum,12827,0
21690,0.0,10.0,352,78,performing traditional Chinese opera,18852,0
19560,0.0,10.0,52,13,brushing teeth,17026,0
24078,3.54,6.46,76,23,feeding dogs,20963,0
1240,0.0,10.0,145,45,baby drinking milk,1046,0
232,0.0,10.0,307,60,playing tennis,187,0
8765,0.79,10.0,108,38,playing fingerstyle guitar,7614,0
18104,0.0,10.0,54,14,cleaning carpet,15741,0
18569,0.0,7.63,349,77,playing suona,16128,0
3788,0.0,10.0,353,79,watching a concert,3269,0
25354,0.0,10.0,346,74,playing drum,22079,0
24028,0.0,10.0,86,29,playing guzheng,20924,0
22583,0.0,10.0,10,2,playing ukulele ,19639,0
15389,0.0,10.0,12,3,carving with hand tools,13406,0
1110,2.95,9.99,86,29,playing guzheng,929,0
3490,0.0,10.0,343,72,plane taking off,3017,0
2000,0.01,10.0,359,81,singing,1703,0
13207,0.0,10.0,343,72,plane taking off,11509,0
2249,0.0,10.0,307,60,playing tennis,1919,0
150,0.01,4.2,77,24,having a snowball fight,122,0
23204,1.54,10.0,92,30,playing konghou,20194,0
