sample_id,onset,offset,label,new_category,category_name,index
2278,1.42,10.0,4,0,playing flute ,1939
13899,0.0,9.99,4,0,playing flute ,12109
7393,4.79,10.0,4,0,playing flute ,6432
9682,0.0,10.0,4,0,playing flute ,8425
24447,3.27,10.0,4,0,playing flute ,21294
3911,0.0,10.0,4,0,playing flute ,3372
17087,0.0,10.0,4,0,playing flute ,14845
2779,1.7,10.0,4,0,playing flute ,2390
11182,0.0,10.0,4,0,playing flute ,9738
1705,0.0,10.0,4,0,playing flute ,1430
9744,0.0,10.0,4,0,playing flute ,8480
4431,0.0,10.0,4,0,playing flute ,3818
1774,3.25,10.0,4,0,playing flute ,1489
9742,3.33,10.0,4,0,playing flute ,8478
3483,0.0,10.0,4,0,playing flute ,3011
3092,0.0,10.0,4,0,playing flute ,2662
13942,0.0,10.0,4,0,playing flute ,12145
7571,0.0,10.0,4,0,playing flute ,6596
2798,0.0,10.0,4,0,playing flute ,2406
3542,0.0,10.0,4,0,playing flute ,3055
1702,0.0,10.0,4,0,playing flute ,1427
4325,0.0,10.0,4,0,playing flute ,3730
1159,0.0,10.0,4,0,playing flute ,975
9443,0.0,7.81,4,0,playing flute ,8200
2782,0.0,10.0,4,0,playing flute ,2393
3543,0.0,10.0,4,0,playing flute ,3056
23235,0.0,10.0,4,0,playing flute ,20224
2781,0.0,10.0,4,0,playing flute ,2392
16491,3.08,10.0,4,0,playing flute ,14337
2185,0.0,10.0,4,0,playing flute ,1859
6002,0.0,10.0,4,0,playing flute ,5201
1703,0.0,10.0,4,0,playing flute ,1428
14592,0.0,10.0,4,0,playing flute ,12716
2780,0.0,10.0,4,0,playing flute ,2391
16492,0.0,10.0,4,0,playing flute ,14338
15857,0.0,10.0,4,0,playing flute ,13807
4972,0.0,8.32,4,0,playing flute ,4301
8213,0.0,10.0,4,0,playing flute ,7134
3293,0.0,10.0,4,0,playing flute ,2838
23519,0.31,10.0,4,0,playing flute ,20473
7297,0.0,10.0,4,0,playing flute ,6341
17927,0.01,10.0,4,0,playing flute ,15584
7186,0.0,10.0,4,0,playing flute ,6244
15031,0.0,10.0,4,0,playing flute ,13087
23233,1.89,10.0,4,0,playing flute ,20222
13009,0.0,10.0,4,0,playing flute ,11340
23521,0.0,10.0,4,0,playing flute ,20475
13007,0.0,10.0,4,0,playing flute ,11338
6399,0.0,10.0,4,0,playing flute ,5554
2186,0.0,10.0,4,0,playing flute ,1860
13943,0.0,10.0,4,0,playing flute ,12146
23237,0.0,9.89,4,0,playing flute ,20226
7801,3.34,10.0,4,0,playing flute ,6792
4326,0.0,9.66,4,0,playing flute ,3731
16991,0.0,10.0,4,0,playing flute ,14768
4435,0.0,10.0,4,0,playing flute ,3822
19796,0.0,10.0,4,0,playing flute ,17227
24103,1.0,10.0,4,0,playing flute ,20986
19350,0.0,10.0,4,0,playing flute ,16837
9122,0.0,10.0,4,0,playing flute ,7925
12495,0.0,10.0,4,0,playing flute ,10894
7755,2.15,7.85,4,0,playing flute ,6751
23236,0.0,10.0,4,0,playing flute ,20225
432,0.0,10.0,4,0,playing flute ,352
4433,0.0,10.0,4,0,playing flute ,3820
8212,1.28,10.0,4,0,playing flute ,7133
